ensgene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	test	chromosome_name	start_position	end_position	strand	gene_biotype	external_gene_name	description
ENSG00000005108	14.17200497113922	-3.5488566211926593	0.9390571099447519	-3.779170173581297	1.5735186510568933e-4	0.011379886244272545	TRUE	7	11370365	11832198	-1	protein_coding	THSD7A	thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]
ENSG00000008517	999.4501177239177	1.2181610691770286	0.15254331121474202	7.985673442358734	1.3975720911648168e-15	7.2056112042217e-13	TRUE	16	3065297	3082192	1	protein_coding	IL32	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]
ENSG00000023445	266.75980850471615	1.6103258629380814	0.23423470259315418	6.8748389760806745	6.205991914353976e-12	2.361675446836181e-9	TRUE	11	102317450	102339403	1	protein_coding	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]
ENSG00000025708	594.9685017674976	1.0188375569726156	0.193022119594873	5.278346124843185	1.3035506357156102e-7	2.671108950082384e-5	TRUE	22	50525752	50530032	-1	protein_coding	TYMP	thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]
ENSG00000047936	62.232478990153446	1.5160961261065369	0.43976970141830307	3.447477443800628	5.658476538985104e-4	0.03288706564458142	TRUE	6	117288300	117425855	-1	protein_coding	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10261]
ENSG00000059588	351.8645610961637	1.21613753499292	0.2392887151759033	5.082302080559571	3.728877666041349e-7	7.011606086628104e-5	TRUE	1	234391313	234479179	-1	protein_coding	TARBP1	TAR (HIV-1) RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11568]
ENSG00000068079	45.48876792883045	1.38955579083278	0.4153975775726047	3.345122518414081	8.224623025604361e-4	0.0422682153756381	TRUE	17	43006725	43014456	1	protein_coding	IFI35	interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]
ENSG00000077044	155.323153320937	1.2532710274079086	0.37253790531226866	3.364143646959608	7.678156848428922e-4	0.03984414964559723	TRUE	2	233354507	233472104	1	protein_coding	DGKD	diacylglycerol kinase delta [Source:HGNC Symbol;Acc:HGNC:2851]
ENSG00000078401	244.6317072887424	1.0705690824363425	0.20725930049800018	5.16536087820422	2.3997546500791083e-7	4.7944098215267984e-5	TRUE	6	12290361	12297194	1	protein_coding	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]
ENSG00000081041	569.6333337246599	1.2124713545449022	0.18548624497397537	6.536718421977963	6.288327738423876e-11	2.0101268448645766e-8	TRUE	4	74097040	74099196	-1	protein_coding	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]
ENSG00000089127	237.36744939962776	1.687755108730054	0.22019993420599407	7.664648560481321	1.7932153615784494e-14	8.68513973457829e-12	TRUE	12	112906783	112933222	1	protein_coding	OAS1	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]
